legalWeedStatus,State,Year,MV_Deaths,Total_Deaths,Total_OD_Deaths,OverdosePercent,MVPercent
Fully Legal,District of Columbia,2017,31,75096.0,4369.0,0.05817886438691808,0.00041280494300628527
Fully Legal,Maine,2015,156,168991.0,2940.0,0.01739737619163151,0.0009231260836375902
Fully Legal,Maine,2016,166,167830.0,3796.0,0.022618125484120837,0.0009890961091580765
Fully Legal,Maine,2017,172,172501.0,4494.0,0.026052022886823845,0.0009970956690106144
Fully Legal,Massachusetts,2015,306,701311.0,17638.0,0.025150040424291076,0.00043632568147369713
Fully Legal,Massachusetts,2016,414,686740.0,23951.0,0.03487637242624574,0.0006028482395084021
Fully Legal,Massachusetts,2017,350,711010.0,25670.0,0.036103570976498224,0.0004922574928622664
Fully Legal,Michigan,2015,963,1134047.0,23417.0,0.020649055991506526,0.0008491711542819654
Fully Legal,Michigan,2016,908,1123841.0,24245.0,0.02157333644172085,0.0008079434724307086
Fully Legal,Michigan,2017,1030,1152357.0,31175.0,0.027053248255531924,0.0008938202310568687
Fully Legal,Nevada,2015,325,277736.0,7342.0,0.02643517585044791,0.0011701759944695682
Fully Legal,Nevada,2016,352,291104.0,8457.0,0.029051473013081235,0.0012091898428053204
Fully Legal,Nevada,2017,309,303210.0,8748.0,0.028851291184327693,0.0010190956762639754
Fully Legal,Oregon,2015,447,422629.0,6129.0,0.014502081021415947,0.0010576652335736545
Fully Legal,Oregon,2016,520,426884.0,6002.0,0.014060025674422091,0.001218129515278155
Fully Legal,Oregon,2017,437,441385.0,6199.0,0.014044428333541014,0.0009900653624386874
Fully Legal,Vermont,2015,57,68864.0,1094.0,0.015886384758364312,0.0008277184014869888
Fully Legal,Vermont,2016,70,68688.0,1363.0,0.019843349638947124,0.0010191008618681576
Fully Legal,Vermont,2017,69,69528.0,1633.0,0.02348694051317455,0.0009924059371763895
Fully Legal,Washington,2015,568,643835.0,12643.0,0.01963701880140098,0.0008822136106300528
Fully Legal,Washington,2016,557,656102.0,13830.0,0.021079039539583785,0.0008489533639586528
Fully Legal,Washington,2017,565,676325.0,13223.0,0.019551251247551103,0.0008353971833068421
Mixed,Arizona,2015,893,642297.0,14590.0,0.02271534819561667,0.0013903225454890806
Mixed,Arizona,2016,928,679217.0,16403.0,0.024149866684726677,0.0013662791125663815
Mixed,Arizona,2017,1000,686329.0,17552.0,0.02557374087354607,0.001457027169185624
Mixed,Arkansas,2015,531,368117.0,4616.0,0.012539491520359016,0.0014424761692614033
Mixed,Arkansas,2016,584,366574.0,4513.0,0.012311293217740483,0.0015931299001020259
Mixed,Arkansas,2017,493,378076.0,4775.0,0.01262973582031126,0.0013039706302436548
Mixed,Connecticut,2015,266,366126.0,8451.0,0.02308221759722063,0.0007265258408307522
Mixed,Connecticut,2016,287,362773.0,10776.0,0.029704525970786138,0.0007911283364528232
Mixed,Connecticut,2017,278,375123.0,12594.0,0.03357298805991635,0.000741090255729454
Mixed,Delaware,2015,126,103231.0,2391.0,0.023161647179626276,0.0012205635903943582
Mixed,Delaware,2016,129,103860.0,2724.0,0.026227614095898324,0.001242056614673599
Mixed,Delaware,2017,119,109046.0,3866.0,0.03545292812207692,0.0010912825779946077
Mixed,Florida,2015,2939,2318771.0,36892.0,0.015910152404010572,0.0012674817823752323
Mixed,Florida,2016,3223,2360692.0,48380.0,0.02049399074508661,0.001365277638929602
Mixed,Florida,2017,3112,2433010.0,65444.0,0.026898368687346127,0.001279074068746121
Mixed,Georgia,2015,1430,955205.0,15499.0,0.016225836338796384,0.0014970608403431724
Mixed,Georgia,2016,1569,969526.0,15538.0,0.016026388152561147,0.001618316579441913
Mixed,Georgia,2017,1540,995416.0,17723.0,0.01780461636140066,0.001547091869128083
Mixed,Hawaii,2015,94,133348.0,1884.0,0.014128445870954196,0.0007049224585295617
Mixed,Hawaii,2016,126,131591.0,2294.0,0.01743280315523098,0.0009575122918740643
Mixed,Hawaii,2017,107,135848.0,2312.0,0.01701902125905424,0.0007876450150167835
Mixed,Illinois,2015,998,1253456.0,21218.0,0.01692759857545857,0.0007961986699174124
Mixed,Illinois,2016,1056,1240690.0,26227.0,0.021139043596708283,0.0008511392853976416
Mixed,Illinois,2017,1097,1268097.0,31024.0,0.024465005437281216,0.0008650757789033489
Mixed,Indiana,2015,821,759639.0,14427.0,0.01899191589689313,0.0010807765267449407
Mixed,Indiana,2016,802,755967.0,16365.0,0.02164777033918147,0.0010608928696623
Mixed,Indiana,2017,914,787073.0,20889.0,0.026540104920382227,0.0011612645840982983
Mixed,Iowa,2015,320,353743.0,3471.0,0.009812208298114734,0.0009046115400163395
Mixed,Iowa,2016,406,347398.0,3725.0,0.01072257180524931,0.0011686883632030121
Mixed,Iowa,2017,330,360641.0,3983.0,0.01104422403442759,0.0009150373917552358
Mixed,Louisiana,2015,726,530372.0,9800.0,0.018477596856545972,0.0013688505426379975
Mixed,Louisiana,2016,795,526179.0,11393.0,0.02165232743990163,0.001510892681007794
Mixed,Louisiana,2017,760,540067.0,12344.0,0.02285642336969302,0.001407232806299959
Mixed,Maryland,2015,513,566202.0,14101.0,0.024904539369341682,0.000906037068042854
Mixed,Maryland,2016,524,568857.0,20291.0,0.03566977289547285,0.0009211453845166712
Mixed,Maryland,2017,550,593893.0,27014.0,0.04548630813968173,0.0009260927473467443
Mixed,Minnesota,2015,411,512376.0,6669.0,0.013015832123284462,0.0008021452995456462
Mixed,Minnesota,2016,413,512281.0,7668.0,0.014968347449934704,0.0008061981607750434
